survey_id,variable,metric,value,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p25,15.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p50,33.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p75,83.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p90,86.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p95,86.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p99,86.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,mean_w,49.63103594446616,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,sd_w,37.48256479489927,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p01_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p05_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p10_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p25_w,5.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p50_w,81.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p75_w,84.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p90_w,86.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p95_w,86.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p99_w,86.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,missing_share,0.008490586842898414,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,non_missing_n,404634.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,mean,41.030336056782176,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,sd,59.5514189891467,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,max,570.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,min,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,num,404634.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,skewness,3.989154402993053,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,kurtosis,22.5367177849181,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,p01,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,p05,2.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,p10,3.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,p25,7.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,p50,21.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid3,p75,50.0,no
